지역,연도,생산비율,가중치
경기,2011,0.1438,0.1438
경기,2012,0.1575,0.1575
경기,2013,0.1472,0.1472
경기,2014,0.1009,0.1009
강원,1996,0.0553,0.0553
강원,1997,0.0479,0.0479
강원,1998,0.0709,0.0709
강원,1999,0.0671,0.0671
강원,2000,0.0704,0.0704
강원,2001,0.0513,0.0513
강원,2002,0.0574,0.0574
강원,2003,0.0558,0.0558
강원,2004,0.0502,0.0502
강원,2005,0.055,0.055
강원,2006,0.0609,0.0609
강원,2007,0.0618,0.0618
강원,2008,0.0595,0.0595
강원,2009,0.0636,0.0636
강원,2010,0.0553,0.0553
강원,2011,0.0674,0.0674
강원,2012,0.0718,0.0718
강원,2013,0.0862,0.0862
강원,2014,0.0627,0.0627
충북,1996,0.0923,0.0923
충북,1997,0.0813,0.0813
충북,1998,0.0933,0.0933
충북,1999,0.0908,0.0908
충북,2000,0.0873,0.0873
충북,2001,0.0808,0.0808
충북,2002,0.0696,0.0696
충북,2003,0.094,0.094
충북,2004,0.1192,0.1192
충북,2005,0.1163,0.1163
충북,2006,0.1112,0.1112
충북,2007,0.0981,0.0981
충북,2008,0.1427,0.1427
충북,2009,0.1076,0.1076
충북,2010,0.097,0.097
충북,2011,0.1092,0.1092
충북,2012,0.1041,0.1041
충북,2013,0.1276,0.1276
충북,2014,0.0936,0.0936
충남,1996,0.2444,0.2444
충남,1997,0.2438,0.2438
충남,1998,0.2257,0.2257
충남,1999,0.2523,0.2523
충남,2000,0.2177,0.2177
충남,2001,0.2655,0.2655
충남,2002,0.2681,0.2681
충남,2003,0.2291,0.2291
충남,2004,0.2411,0.2411
충남,2005,0.204,0.204
충남,2006,0.1986,0.1986
충남,2007,0.2012,0.2012
충남,2008,0.1807,0.1807
충남,2009,0.1764,0.1764
충남,2010,0.1794,0.1794
충남,2011,0.1543,0.1543
충남,2012,0.1516,0.1516
충남,2013,0.1291,0.1291
충남,2014,0.1133,0.1133
전북,1996,0.1659,0.1659
전북,1997,0.1618,0.1618
전북,1998,0.1467,0.1467
전북,1999,0.1815,0.1815
전북,2000,0.1769,0.1769
전북,2001,0.1437,0.1437
전북,2002,0.169,0.169
전북,2003,0.1597,0.1597
전북,2004,0.1597,0.1597
전북,2005,0.1557,0.1557
전북,2006,0.1683,0.1683
전북,2007,0.1558,0.1558
전북,2008,0.1372,0.1372
전북,2009,0.1386,0.1386
전북,2010,0.1404,0.1404
전북,2011,0.1147,0.1147
전북,2012,0.1158,0.1158
전북,2013,0.1135,0.1135
전북,2014,0.1058,0.1058
전남,1996,0.1827,0.1827
전남,1997,0.2057,0.2057
전남,1998,0.19,0.19
전남,1999,0.1694,0.1694
전남,2000,0.1858,0.1858
전남,2001,0.1693,0.1693
전남,2002,0.1839,0.1839
전남,2003,0.221,0.221
전남,2004,0.1726,0.1726
전남,2005,0.1893,0.1893
전남,2006,0.189,0.189
전남,2007,0.1843,0.1843
전남,2008,0.1924,0.1924
전남,2009,0.2233,0.2233
전남,2010,0.2649,0.2649
전남,2011,0.2889,0.2889
전남,2012,0.2715,0.2715
전남,2013,0.279,0.279
전남,2014,0.4263,0.4263
경북,1996,0.1058,0.1058
경북,1997,0.0941,0.0941
경북,1998,0.0934,0.0934
경북,1999,0.0867,0.0867
경북,2000,0.1051,0.1051
경북,2001,0.0935,0.0935
경북,2002,0.0943,0.0943
경북,2003,0.0992,0.0992
경북,2004,0.112,0.112
경북,2005,0.11,0.11
경북,2006,0.1274,0.1274
경북,2007,0.1417,0.1417
경북,2008,13.91,0.1391
경북,2009,13.03,0.1303
경북,2010,11.2,0.112
경북,2011,12.17,0.1217
경북,2012,12.77,0.1277
경북,2013,11.74,0.1174
경북,2014,9.75,0.0975
